'A total of %1 record(s) have been modified.','A total of %1 record(s) have been modified.'
'A total of %1 record(s) have been deleted.','A total of %1 record(s) have been deleted.'
'Method has been successfully saved.','Method has been successfully saved.'
'row data no longer exist.','row data no longer exist.'
'Min Order Amount < Max Order Amount','Min Order Amount < Max Order Amount'
'Shipping Carrier','Shipping Carrier'
'Version','Version'
'Enabled','Enabled'
'Title','Tittle'
'Active','Active'
'Disabled','Disabled'
'Admin','Admin'
'Frontend','Frontend'
'Both Admin and Frontend','Both Admin and Frontend'
'Name','Name'
'Price','Price'
'Type','Type'
'Calculate Handling Fee','Calculate Handling Fee'
'Handling Fee','Handling Fee'
'Fixed','Fixed'
'Percent','Percent'
'Handling Fee','Handling Fee'
'Ship to Applicable Countries','Ship to Applicable Countries'
'Ship to Specific Countries','Ship to Specific Countries'
'Minimum order Amount','Minimum order Amount'
'Maximum order Amount','Maximum order Amount'
'Store View','Store View'
'Allowed Methods','Allowed Methods'
'Go to Methods','Go to Methods'
'Show Method if Not Applicable','Show Method if Not Applicable'
'Displayed Error Message', 'Displayed Error Message'
'Sort Order','Sort Order'
'Custom Shipping Method','Custom Shipping Method'
'This shipping method is not available. To use this shipping method, please contact us.','This shipping method is not available. To use this shipping method, please contact us.'
'Edit Custom Method','Edit Custom Method'
'Add Custom Method','Add Custom Method'
'Save and Continue Edit','Save and Continue Edit'
'Save','Save'
